                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0027,                0.65794,                0.89541,                0.99752,                0.64286,                0.77906,                0.38571,                 2.0532,                 1.6493,                 1.3936,              0.0010496,              0.0010496,              0.0010496
                     50,                0.98199,                0.63589,                0.89385,                0.98057,                0.64286,                0.78005,                0.35048,                 2.0026,                 1.4879,                 1.3758,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9948,                0.65733,                0.94333,                0.76918,                0.78571,                0.77967,                0.36068,                  2.045,                 1.4516,                 1.4042,                0.00101,                0.00101,                0.00101
                     52,                0.99532,                0.63855,                0.93109,                0.97426,                0.64286,                0.73743,                0.34193,                 2.2485,                 1.4697,                 1.4999,              0.0009902,              0.0009902,              0.0009902
                     53,                0.95465,                0.60302,                0.92745,                0.98657,                0.64286,                0.82273,                0.37908,                 2.0994,                 1.3293,                 1.4202,              0.0009704,              0.0009704,              0.0009704
                     54,                0.95303,                0.64098,                0.91512,                0.89751,                0.71429,                0.83222,                0.36896,                 2.1307,                 1.3549,                 1.4093,              0.0009506,              0.0009506,              0.0009506
                     55,                0.94076,                0.62391,                 0.9014,                0.99043,                0.71429,                0.82377,                0.41273,                 2.0492,                 1.4803,                 1.3406,              0.0009308,              0.0009308,              0.0009308
                     56,                0.95182,                 0.6152,                0.90245,                 0.9832,                0.78571,                0.85045,                 0.4375,                 2.0058,                  1.288,                 1.3358,               0.000911,               0.000911,               0.000911
                     57,                 0.9724,                0.62449,                0.92616,                0.98977,                0.71429,                0.84714,                0.42069,                 1.9777,                 1.2608,                 1.3287,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0253,                0.68891,                0.92782,                0.99265,                0.71429,                0.83895,                0.39081,                 2.0604,                 1.2522,                 1.4313,              0.0008714,              0.0008714,              0.0008714
                     59,                0.93025,                0.59781,                0.88859,                      1,                0.69492,                0.76326,                0.33438,                 2.1565,                 1.1801,                 1.4387,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.9654,                0.60803,                0.89173,                0.98639,                0.71429,                0.75162,                0.35297,                 2.0403,                 1.2719,                 1.4136,              0.0008318,              0.0008318,              0.0008318
                     61,                0.93755,                0.62828,                0.93894,                 0.9888,                0.71429,                0.76719,                 0.3714,                 2.0575,                 1.2973,                   1.42,               0.000812,               0.000812,               0.000812
                     62,                0.91587,                 0.5899,                0.89839,                0.99108,                0.71429,                0.77241,                0.35748,                 2.0299,                 1.3359,                 1.3695,              0.0007922,              0.0007922,              0.0007922
