                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.97093,                0.62681,                0.92558,                0.98941,                0.64286,                0.70945,                0.31762,                 2.1085,                 1.4697,                 1.4646,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.0188,                0.61132,                0.92575,                0.99178,                0.64286,                0.80106,                0.35947,                 2.1851,                 1.2008,                 1.4828,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.0602,                0.66321,                0.95077,                0.91518,                0.77171,                 0.8388,                0.36311,                 2.1136,                 1.1554,                 1.4829,              0.0012212,              0.0012212,              0.0012212
                     61,                 0.9471,                 0.6124,                 0.8953,                0.99396,                0.71429,                0.79119,                0.38522,                   2.07,                 1.3034,                 1.4526,               0.001208,               0.001208,               0.001208
                     62,                 1.0259,                0.65257,                0.91693,                      1,                0.62716,                0.73839,                0.43313,                 2.0326,                 1.9296,                 1.4561,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.0571,                0.64103,                 0.9354,                      1,                0.62332,                0.72438,                0.39531,                 2.0329,                 1.7908,                 1.4556,              0.0011816,              0.0011816,              0.0011816
                     64,                0.99783,                0.60329,                0.91383,                0.90208,                0.65918,                0.76758,                0.38747,                 1.9691,                 1.5988,                 1.4165,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.9397,                0.59833,                0.91416,                  0.898,                0.78571,                0.81211,                0.41568,                 1.8788,                 1.3023,                 1.3378,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.0021,                0.61922,                0.92781,                0.90965,                0.71953,                0.79705,                0.38852,                 1.9574,                 1.2455,                 1.3768,               0.001142,               0.001142,               0.001142
                     67,                 0.9966,                0.61837,                0.91172,                0.90821,                0.70736,                0.77718,                0.41061,                 1.9334,                 1.4067,                 1.3661,              0.0011288,              0.0011288,              0.0011288
                     68,                0.97858,                0.60944,                0.93404,                      1,                0.63807,                0.74914,                0.37464,                 1.9031,                 1.5457,                 1.3393,              0.0011156,              0.0011156,              0.0011156
                     69,                0.94733,                0.60501,                0.92851,                0.83207,                0.70832,                 0.7335,                0.39301,                 1.8549,                  1.444,                 1.2836,              0.0011024,              0.0011024,              0.0011024
